,Singer/Songwriter
love,3341
down,2134
oh,1890
never,1663
got,1585
la,1357
away,1291
where,1271
let,1173
here,1148
heart,1137
man,1109
feel,1102
tell,1050
home,1044
night,990
were,989
thing,958
world,955
long,934
