,feel
Electronic,0.7604165214603342
R&B/Soul,0.5813147445708835
Pop,0.5273134056511064
Rock,0.5000602011499722
Heavy Metal,0.49992963347221175
Alternative,0.47348934045263513
Jazz,0.3580964880521361
Country,0.35198950933227086
Singer/Songwriter,0.3219257116982896
Hip Hop/Rap,0.24692426049397212
