,Heavy Metal
life,4045
never,3513
die,3427
down,3111
feel,3055
eye,2731
away,2729
world,2708
live,2540
through,2428
love,2318
soul,2074
night,2058
mind,2026
let,1952
burn,1922
pain,1911
here,1883
end,1850
again,1837
