,love
R&B/Soul,2.136293560480025
Jazz,1.9454878711078927
Country,1.5212095639502508
Pop,1.3342685227578996
Electronic,1.0847493854868013
Singer/Songwriter,0.976001635920132
Rock,0.8541351178249695
Alternative,0.6541742527018647
Hip Hop/Rap,0.43094339156280315
Heavy Metal,0.37932467770493844
